channels: 2 sampleRate: 16000 bitsPerSample: 16 dataBytes: 5987264
duration (s): 93.55
--- overall RMS ---
channel 0 RMS: 0.00155
channel 1 RMS: 0.14559
--- per-5s RMS timeline ---
t=0-5s: ch0=0.0012  ch1=0.1370
t=5-10s: ch0=0.0014  ch1=0.1290
t=10-15s: ch0=0.0010  ch1=0.1466
t=15-20s: ch0=0.0015  ch1=0.1816
t=20-25s: ch0=0.0016  ch1=0.1500
t=25-30s: ch0=0.0011  ch1=0.1473
t=30-35s: ch0=0.0013  ch1=0.1439
t=35-40s: ch0=0.0008  ch1=0.1193
t=40-45s: ch0=0.0010  ch1=0.1448
t=45-50s: ch0=0.0024  ch1=0.1600
t=50-55s: ch0=0.0020  ch1=0.1736
t=55-60s: ch0=0.0022  ch1=0.1475
t=60-65s: ch0=0.0028  ch1=0.1456
t=65-70s: ch0=0.0012  ch1=0.1333
t=70-75s: ch0=0.0015  ch1=0.1335
t=75-80s: ch0=0.0012  ch1=0.1417
t=80-85s: ch0=0.0013  ch1=0.1352
t=85-90s: ch0=0.0010  ch1=0.1315
t=90-95s: ch0=0.0013  ch1=0.1531
