ts,keepance_kb,webkitweb_kb,webkitnet_kb,total_kb,note
1781106698,239704,328428,64012,632144,
1781106703,239720,328428,57680,625828,
1781106709,239288,295776,57680,592744,
1781106714,239288,295764,57744,592796,
1781106719,239288,295768,57744,592800,
1781106724,239152,309776,57716,606644,
1781106729,239152,309776,57716,606644,
1781106734,277644,467168,66992,811804,
1781106739,277628,467124,66992,811744,
1781106744,276916,458804,66996,802716,
1781106749,276928,458576,66840,802344,
1781106755,276928,458652,66844,802424,
1781106760,276928,458784,66844,802556,
1781106765,283776,460468,66952,811196,
1781106770,283776,460524,66952,811252,
1781106775,283772,458724,66952,809448,
1781106780,283772,458748,66860,809380,
1781106785,283772,458544,66860,809176,
1781106790,283772,458784,66864,809420,
1781106795,283720,458796,66864,809380,
1781106800,283720,458476,66856,809052,
1781106806,283720,458488,66860,809068,
1781106811,283720,458664,66860,809244,
1781106816,283720,389556,66860,740136,
1781106821,283720,388992,66860,739572,
1781106826,283720,387668,66860,738248,
1781106831,283720,387672,66860,738252,
1781106836,283724,387772,66860,738356,
1781106841,283724,387780,66860,738364,
1781106846,283724,387792,66860,738376,
1781106852,283724,387816,66860,738400,
1781106857,283724,387824,66860,738408,
1781106862,283724,388024,66860,738608,
1781106867,283716,387956,66860,738532,
1781106872,283724,387980,66860,738564,
1781106877,283724,387956,66860,738540,
1781106882,283724,388160,66860,738744,
1781106887,283724,388336,66860,738920,
1781106892,283724,388124,66860,738708,
1781106898,283724,388136,66860,738720,
1781106903,283724,388352,66860,738936,
1781106908,283724,389744,66860,740328,
1781106913,283724,389756,66860,740340,
1781106918,283724,388256,66860,738840,
1781106923,283724,388292,66860,738876,
1781106928,283724,388532,66860,739116,
1781106933,283724,388520,66860,739104,
1781106939,283724,388788,66860,739372,
1781106944,283724,388832,66856,739412,
1781106949,283724,388800,66860,739384,
1781106954,283724,388824,66860,739408,
1781106959,283724,388324,66860,738908,
1781106964,283724,388504,66860,739088,
